Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Bamboo Fiber,55.3,2.9,99.3,0.54,35.3,7,Highly Recommended
Bagasse (Sugarcane),25.8,1.4,97.4,1.08,53.5,6,Highly Recommended
Bamboo Fiber,57.3,8.7,96.2,0.99,39.9,6,Highly Recommended
Bioplastic (PLA),54.7,6.3,91.4,2.01,54,9,Highly Recommended
Mushroom Mycelium,16.2,3.2,100,0.18,100,5,Highly Recommended
Recycled Cardboard,34.2,4.2,94.6,1.36,88.9,5,Highly Recommended
Bioplastic (PLA),66.7,6.4,86.3,2.41,41.7,9,Consider as Option
Mushroom Mycelium,11.7,5.8,100,0.18,100,5,Highly Recommended
Mushroom Mycelium,21.2,2.1,100,0.19,100,4,Highly Recommended
Bioplastic (PLA),52.6,6.6,80.2,2.33,57.9,9,Highly Recommended
Bagasse (Sugarcane),27.2,6.5,97,1.16,67.2,5,Highly Recommended
Edible Seaweed Film,13.4,0.9,100,0.36,1.8,3,Consider as Option
Recycled Cardboard,21.8,8.1,90.8,1.48,89.8,3,Highly Recommended
Edible Seaweed Film,5.6,5.3,100,0.58,7.9,3,Consider as Option
Recycled Cardboard,30.9,2.6,96.5,1.2,80.1,5,Highly Recommended
Aluminum Foil,42.3,4,0,9.86,98,10,Avoid
Bioplastic (PLA),58.5,6.9,81.6,1.71,48.5,9,Highly Recommended
Bioplastic (PLA),53.8,4.9,88.7,1.77,43,8,Highly Recommended
Recycled Cardboard,27,2.5,92.7,1.25,92.6,3,Highly Recommended
Edible Seaweed Film,11.1,8.8,100,0.27,9.1,3,Consider as Option
Aluminum Foil,24.3,9.5,0,8.93,92.7,10,Avoid
Recycled Cardboard,16.2,7.1,99,0.81,93.6,5,Highly Recommended
Bagasse (Sugarcane),31.9,6.1,95.8,0.97,67.2,7,Highly Recommended
Aluminum Foil,29.7,6.4,0,10.3,90.1,10,Avoid
Mushroom Mycelium,10.4,8,100,0.38,100,6,Highly Recommended
Bagasse (Sugarcane),20.1,0.7,95.9,1.36,60.1,7,Highly Recommended
Bioplastic (PLA),71.3,8.4,91.8,2.42,57.9,8,Highly Recommended
Bamboo Fiber,47.3,9.5,99.1,1.05,44.5,7,Highly Recommended
Bamboo Fiber,46.9,1,98.1,0.95,45,6,Highly Recommended
Mushroom Mycelium,19.2,2,100,0.23,100,6,Highly Recommended
Bamboo Fiber,49.1,8.4,99,1.06,35.4,8,Highly Recommended
Bamboo Fiber,54.3,0.7,98.8,0.59,35.4,7,Highly Recommended
Edible Seaweed Film,14.8,8.2,100,0.47,2.9,2,Consider as Option
Mushroom Mycelium,16.5,0.7,100,0.4,100,5,Highly Recommended
Aluminum Foil,35.2,2.4,0,10.23,93.8,10,Avoid
Recycled Cardboard,29.4,0.5,95.4,1.49,87.2,5,Highly Recommended
Edible Seaweed Film,13,8,100,0.57,5.5,2,Consider as Option
Bamboo Fiber,55.3,1.5,95.8,0.88,34.7,7,Highly Recommended
Virgin Plastic (PP),65.8,4.1,2.8,4.42,23.9,10,Avoid
Edible Seaweed Film,10.1,8.1,100,0.25,0.1,3,Consider as Option
Virgin Plastic (PP),82.4,6.5,0.9,4.64,16.6,10,Avoid
Bagasse (Sugarcane),36.9,4.3,99.3,1.36,55.6,5,Highly Recommended
Mushroom Mycelium,21.3,5.3,100,0.18,100,6,Highly Recommended
Edible Seaweed Film,14.1,1.3,100,0.48,2.6,4,Consider as Option
Bagasse (Sugarcane),28.2,6,95.1,1.4,68.3,6,Highly Recommended
Recycled Cardboard,17.1,1.9,99.8,0.98,94.3,5,Highly Recommended
Bagasse (Sugarcane),34.8,6.1,95.3,1.27,56.7,7,Highly Recommended
Edible Seaweed Film,5.1,4.9,100,0.24,7.3,2,Consider as Option
Aluminum Foil,40.2,0.6,0,8.75,98.6,10,Avoid
Aluminum Foil,40,3.3,0,8.08,91,10,Avoid
Bioplastic (PLA),73.8,4.6,80.9,1.76,54.1,8,Highly Recommended
Mushroom Mycelium,19.8,7.2,100,0.13,100,5,Highly Recommended
Aluminum Foil,43.2,8.1,0,9.15,91.7,10,Avoid
Mushroom Mycelium,20,8.4,100,0.19,100,5,Highly Recommended
Virgin Plastic (PP),72.3,5.7,2.3,5.23,29.7,10,Avoid
Virgin Plastic (PP),80.9,8.1,1.9,4.85,23.9,10,Avoid
Bioplastic (PLA),53,3,93.2,2.42,50.4,8,Highly Recommended
Virgin Plastic (PP),90,0.5,3,3.85,10.1,10,Avoid
Virgin Plastic (PP),89.8,8.6,2.9,5.12,25.6,10,Avoid
Virgin Plastic (PP),79.6,7.8,1.8,5.12,19.5,10,Avoid
Bamboo Fiber,59.6,2.6,98.3,1.09,47,7,Highly Recommended
Bioplastic (PLA),60.8,3.7,94.1,2.28,53.9,8,Highly Recommended
Edible Seaweed Film,7.5,8.6,100,0.31,1.8,4,Consider as Option
Bagasse (Sugarcane),32.3,5.9,99.4,1.02,59.7,7,Highly Recommended
Edible Seaweed Film,5.2,5.1,100,0.49,3.4,3,Consider as Option
Mushroom Mycelium,13.4,9.7,100,0.11,100,6,Highly Recommended
Aluminum Foil,44.8,5.9,0,10.29,97.3,10,Avoid
Mushroom Mycelium,17.9,2.2,100,0.16,100,5,Highly Recommended
Aluminum Foil,27.7,6.3,0,8.97,92.2,10,Avoid
Bamboo Fiber,45,0.8,97.1,0.85,45.3,8,Highly Recommended
Aluminum Foil,37.5,1.3,0,9.61,93.7,10,Avoid
Virgin Plastic (PP),65.1,9.7,3.7,5.93,10.1,10,Avoid
Mushroom Mycelium,17.4,1.3,100,0.32,100,5,Highly Recommended
Recycled Cardboard,26.6,7.6,93.5,1.25,96,3,Highly Recommended
Recycled Cardboard,27.6,1.8,98.7,1.44,83.8,4,Highly Recommended
Bamboo Fiber,43.7,4.5,95.9,1.18,30,7,Highly Recommended
Virgin Plastic (PP),60.7,5.8,0.2,4.87,15.7,10,Avoid
Mushroom Mycelium,23,3.3,100,0.35,100,6,Highly Recommended
Virgin Plastic (PP),80.4,3.3,4.1,4.7,19.2,10,Avoid
Virgin Plastic (PP),60.3,8,1.7,3.71,24.8,10,Avoid
Virgin Plastic (PP),88,5,1.3,4.31,21.1,10,Avoid
Bioplastic (PLA),54.8,3.3,82.6,1.93,53.8,9,Highly Recommended
Bamboo Fiber,44.7,7.9,98.1,0.92,30.2,8,Highly Recommended
Recycled Cardboard,28.5,4.8,93.4,1.14,94.2,3,Highly Recommended
Bagasse (Sugarcane),26.7,1,99.3,1.36,69.7,7,Highly Recommended
Aluminum Foil,43.4,5.2,0,10.5,90.5,10,Avoid
Bagasse (Sugarcane),34.6,4.8,95.3,1.02,54.8,5,Highly Recommended
Bioplastic (PLA),65.5,1.6,91.2,1.64,53,8,Highly Recommended
Recycled Cardboard,29.8,8.6,94.9,1.3,97.7,5,Highly Recommended
Aluminum Foil,31.3,0.7,0,8.15,90.7,10,Avoid
Recycled Cardboard,15.4,7.7,95.8,1.12,90.9,3,Highly Recommended
Bamboo Fiber,49,3.2,99.1,0.7,49.3,7,Highly Recommended
Bagasse (Sugarcane),24.6,2.7,97.3,1,68.6,6,Highly Recommended
Recycled Cardboard,32.4,3.7,98.7,1.03,92.7,5,Highly Recommended
Aluminum Foil,38.2,5.6,0,9.62,99.1,10,Avoid
Recycled Cardboard,34.4,0.8,94,1.32,99.7,3,Highly Recommended
Mushroom Mycelium,17.6,1.3,100,0.37,100,5,Highly Recommended
Bioplastic (PLA),56.4,9.9,89.8,2.09,51,8,Highly Recommended
Aluminum Foil,43.4,6,0,10.77,95.6,10,Avoid
Virgin Plastic (PP),61.4,5,1.5,4.3,13.6,10,Avoid
Edible Seaweed Film,12.9,1.4,100,0.45,5.3,3,Consider as Option
Bagasse (Sugarcane),38.5,6.9,99.7,1.11,53.1,7,Highly Recommended
Bamboo Fiber,42.8,7,97.9,1.18,45.1,8,Highly Recommended
Mushroom Mycelium,17.2,2,100,0.38,100,4,Highly Recommended
Mushroom Mycelium,17.2,4.8,100,0.32,100,5,Highly Recommended
Bioplastic (PLA),52.8,5.2,93.8,1.62,41.1,9,Highly Recommended
Bioplastic (PLA),70.6,4.5,85.9,1.93,52.1,8,Highly Recommended
Edible Seaweed Film,8.2,5.8,100,0.34,9.2,3,Consider as Option
Virgin Plastic (PP),76.4,8.8,0.7,3.6,10.7,10,Avoid
Bioplastic (PLA),71.1,7.9,87.8,1.66,45.4,8,Highly Recommended
Recycled Cardboard,31.5,5.8,93,0.9,81.7,3,Highly Recommended
Aluminum Foil,27.4,2,0,8.35,94.1,10,Avoid
Aluminum Foil,38.3,7.6,0,10.93,99,10,Avoid
Recycled Cardboard,34.7,9.5,91.9,1.38,80.4,4,Highly Recommended
Bamboo Fiber,40.1,6.7,96.2,0.73,31.5,6,Highly Recommended
Mushroom Mycelium,24.7,7.5,100,0.18,100,4,Highly Recommended
Mushroom Mycelium,10.8,4,100,0.29,100,6,Highly Recommended
Virgin Plastic (PP),80.8,0.7,3.9,4.95,24.3,10,Avoid
Recycled Cardboard,15.7,6.3,99.9,1.42,86,3,Highly Recommended
Edible Seaweed Film,9,10,100,0.21,3.9,3,Consider as Option
Bagasse (Sugarcane),22.5,6.1,98.9,1.25,63.5,7,Highly Recommended
Bioplastic (PLA),69,6.8,86.1,2.29,46.4,8,Consider as Option
Edible Seaweed Film,12.4,7.8,100,0.32,2.2,4,Consider as Option
Bamboo Fiber,45.1,3.9,97.1,0.59,30.8,7,Highly Recommended
Bioplastic (PLA),50.3,9.7,80.1,2.44,50.8,9,Consider as Option
Bamboo Fiber,41.5,5.9,98.9,0.89,36.7,7,Highly Recommended
Bamboo Fiber,48.9,3.5,98.5,1,47.9,6,Highly Recommended
Bamboo Fiber,57.4,1.9,99.4,1.03,38.3,6,Highly Recommended
Edible Seaweed Film,13.5,6.3,100,0.56,1.9,4,Consider as Option
Virgin Plastic (PP),88.4,7,0.3,4.99,16.9,10,Avoid
Virgin Plastic (PP),69.1,2.2,4.1,5.97,20.7,10,Avoid
Edible Seaweed Film,8.8,5.6,100,0.35,0.7,2,Consider as Option
Bagasse (Sugarcane),38.3,4.9,96.7,1.34,63.6,7,Highly Recommended
Bagasse (Sugarcane),25.9,9.9,96.6,1.32,54.6,7,Highly Recommended
Aluminum Foil,24.9,4,0,10.6,91.6,10,Avoid
Aluminum Foil,34.3,8.4,0,9.44,92.1,10,Avoid
Virgin Plastic (PP),64.9,4.4,2.5,4.71,11.3,10,Avoid
Recycled Cardboard,17.7,7.2,99.3,1.36,97.5,4,Highly Recommended
Edible Seaweed Film,8.8,6.2,100,0.2,0.1,4,Consider as Option
Bagasse (Sugarcane),32.2,8.1,98.2,1.14,61.2,5,Highly Recommended
Bioplastic (PLA),73.5,4,86.2,2,50.3,9,Highly Recommended
Bioplastic (PLA),55.8,0.9,89.3,1.5,58.5,9,Highly Recommended
Bagasse (Sugarcane),21.7,1.6,98.3,1,64,7,Highly Recommended
Aluminum Foil,39.5,4.2,0,11.64,94.1,10,Avoid
Bagasse (Sugarcane),34.9,4.2,95.6,1.32,64.9,5,Highly Recommended
Virgin Plastic (PP),64.8,1.9,3.1,6,21.9,10,Avoid
Virgin Plastic (PP),67.6,7.7,2.8,5.66,28.3,10,Avoid
Virgin Plastic (PP),72,6.9,4.7,4.42,20.3,10,Avoid
Recycled Cardboard,30.7,7.1,95.4,1.48,86.8,5,Highly Recommended
Recycled Cardboard,32.3,8.7,92.5,1.36,82.5,5,Highly Recommended
Virgin Plastic (PP),66.5,3.4,1.4,4.77,19.6,10,Avoid
Aluminum Foil,38.4,5.4,0,10.59,97.9,10,Avoid
Virgin Plastic (PP),72.2,5.4,1.9,3.82,20.6,10,Avoid
Edible Seaweed Film,9.9,1.3,100,0.32,9.8,4,Consider as Option
Bagasse (Sugarcane),20.4,3.7,99.7,1.15,54.5,5,Highly Recommended
Mushroom Mycelium,21.2,8.7,100,0.12,100,6,Highly Recommended
Edible Seaweed Film,6.6,3.9,100,0.48,4.7,3,Consider as Option
Recycled Cardboard,19.3,8.3,97.8,1.31,98.3,3,Highly Recommended
Bagasse (Sugarcane),29.5,8,97.4,1.07,70,5,Highly Recommended
Bioplastic (PLA),52.4,4.8,87.5,2.18,50,9,Highly Recommended
Edible Seaweed Film,10.1,2.8,100,0.36,5.9,4,Consider as Option
Bioplastic (PLA),61.8,7.8,88.4,1.88,42.5,8,Highly Recommended
Aluminum Foil,35.8,9.1,0,11.1,93.3,10,Avoid
Aluminum Foil,28.5,1.3,0,10.51,99.6,10,Avoid
Mushroom Mycelium,17.7,3.9,100,0.26,100,5,Highly Recommended
Bamboo Fiber,40.6,9.9,98.6,0.56,38.5,7,Highly Recommended
Edible Seaweed Film,10.7,0.5,100,0.5,1,4,Consider as Option
Virgin Plastic (PP),77,1.3,2.4,4.01,13.8,10,Avoid
Bioplastic (PLA),69.8,1.4,86,1.86,42.8,8,Consider as Option
Bioplastic (PLA),64,5.9,91.2,2.17,52.2,8,Highly Recommended
Edible Seaweed Film,5.9,6.1,100,0.36,2.8,3,Consider as Option
Virgin Plastic (PP),79.4,5.9,2.6,4.9,13.8,10,Avoid
Mushroom Mycelium,11.3,5.7,100,0.11,100,4,Highly Recommended
Bioplastic (PLA),59.3,5,85.3,1.84,59.6,8,Highly Recommended
Bagasse (Sugarcane),35.6,9.3,97.3,1.08,61.2,5,Highly Recommended
Bamboo Fiber,54.1,5.2,95.6,0.6,36.4,6,Highly Recommended
Aluminum Foil,23.8,6.8,0,8.15,90.6,10,Avoid
Bagasse (Sugarcane),34.2,3.3,99.3,1.01,56.9,6,Highly Recommended
Mushroom Mycelium,14.5,2.9,100,0.31,100,6,Highly Recommended
Aluminum Foil,32.3,7.4,0,10.75,98.9,10,Avoid
Aluminum Foil,27.3,9.5,0,8.78,94.1,10,Avoid
Bagasse (Sugarcane),26,4.9,96.8,1.02,66.1,5,Highly Recommended
Bamboo Fiber,57.6,8.9,95.4,1.02,46.6,8,Highly Recommended
Bagasse (Sugarcane),28.4,1.1,96.6,1.31,61.9,7,Highly Recommended
Recycled Cardboard,25.9,0.9,94.1,1.11,98.8,4,Highly Recommended
Edible Seaweed Film,12.8,5.4,100,0.39,0.9,3,Consider as Option
Bamboo Fiber,47.8,1.3,98,0.9,39.9,7,Highly Recommended
Recycled Cardboard,25.3,8.5,91.2,1.38,83,3,Highly Recommended
Edible Seaweed Film,10.1,0.9,100,0.21,5.8,3,Consider as Option
Aluminum Foil,32.3,6.7,0,8.81,91.3,10,Avoid
Bagasse (Sugarcane),35.3,2.4,98.9,1.34,50.6,6,Highly Recommended
Bioplastic (PLA),75,4.3,89.4,2.17,48.9,9,Highly Recommended
Virgin Plastic (PP),81,8.7,4.1,5.55,20.6,10,Avoid
Recycled Cardboard,29.2,6.1,90.2,0.93,92.1,4,Highly Recommended
Bagasse (Sugarcane),36.5,7.2,98.3,0.96,55.6,5,Highly Recommended
Bagasse (Sugarcane),37,2.2,98.8,1.09,64.3,7,Highly Recommended
Bioplastic (PLA),67.7,9,93.6,2,52.7,9,Highly Recommended
Edible Seaweed Film,7.8,7,100,0.27,6,2,Consider as Option
Edible Seaweed Film,6,5.7,100,0.51,2.6,2,Consider as Option
Recycled Cardboard,26,2.6,99.2,1.22,88.3,4,Highly Recommended
Virgin Plastic (PP),72.3,3.3,4.8,4.43,15,10,Avoid
Bagasse (Sugarcane),31.4,3.9,98,1.12,58.5,5,Highly Recommended
Bagasse (Sugarcane),24.5,7.7,99.9,0.97,52.2,5,Highly Recommended
Mushroom Mycelium,22.7,0.8,100,0.12,100,5,Highly Recommended
Bagasse (Sugarcane),30.5,8.4,96.6,1.24,59.7,5,Highly Recommended
Mushroom Mycelium,15.4,4.8,100,0.36,100,6,Highly Recommended
Bioplastic (PLA),54.1,9.9,88.9,1.7,49.4,9,Highly Recommended
Bamboo Fiber,53.4,4.4,96.1,0.67,43.4,7,Highly Recommended
Edible Seaweed Film,14.8,9.2,100,0.28,0.4,4,Consider as Option
Bamboo Fiber,54.6,5.5,99.9,0.89,32.5,7,Highly Recommended
Edible Seaweed Film,10.6,2.5,100,0.27,2,3,Consider as Option
Edible Seaweed Film,9.6,3.1,100,0.36,9.3,2,Consider as Option
Edible Seaweed Film,5.1,3.2,100,0.29,8.6,4,Consider as Option
Mushroom Mycelium,22.6,7.4,100,0.22,100,5,Highly Recommended
Bagasse (Sugarcane),23,7.8,97.1,1.09,60.8,6,Highly Recommended
Recycled Cardboard,19.7,8.4,98.9,1.21,93.2,4,Highly Recommended
Virgin Plastic (PP),75.6,6.5,0.2,4.01,26.1,10,Avoid
Edible Seaweed Film,9,1,100,0.45,2.2,4,Consider as Option
Bamboo Fiber,53.9,3.5,99.4,0.63,32.6,7,Highly Recommended
Recycled Cardboard,18,8.6,94.7,1.29,85.3,5,Highly Recommended
Bioplastic (PLA),63.5,6.1,83.8,2.37,49.9,9,Consider as Option
Bioplastic (PLA),65.8,2.4,91.3,2.15,45.4,8,Highly Recommended
Edible Seaweed Film,8.8,4.5,100,0.33,6.5,2,Consider as Option
Aluminum Foil,27.3,7.1,0,10.66,97,10,Avoid
Edible Seaweed Film,10.2,1.1,100,0.33,2.7,3,Consider as Option
Bagasse (Sugarcane),38.1,6,95,1.13,61.8,5,Highly Recommended
Edible Seaweed Film,9.7,1.1,100,0.57,8.7,4,Consider as Option
Virgin Plastic (PP),68.1,5.5,2.5,5.27,24.8,10,Avoid
Recycled Cardboard,17.8,4.4,91.8,1.2,81.4,4,Highly Recommended
Virgin Plastic (PP),74.6,2.6,0.9,3.51,18.6,10,Avoid
Recycled Cardboard,20,5,92.1,1.31,99.3,5,Highly Recommended
Mushroom Mycelium,12.8,2.6,100,0.2,100,5,Highly Recommended
Virgin Plastic (PP),77.1,1.7,4.1,5.67,26.2,10,Avoid
Bagasse (Sugarcane),39.1,9.4,96,1.17,60.4,6,Highly Recommended
Bioplastic (PLA),74.2,2.2,92,2.01,49.5,9,Highly Recommended
Aluminum Foil,30.8,4.7,0,11.03,96.3,10,Avoid
Bagasse (Sugarcane),23.3,3.3,97.7,1.14,69.5,6,Highly Recommended
Aluminum Foil,22.6,1,0,9.44,96.4,10,Avoid
Recycled Cardboard,26.1,3.1,96.6,0.91,97.2,5,Highly Recommended
Virgin Plastic (PP),87.9,1.1,1.9,4.73,18.2,10,Avoid
Recycled Cardboard,19.7,8.9,95.9,1.21,84.3,3,Highly Recommended
Bamboo Fiber,49.6,1.8,97.2,0.75,48.7,7,Highly Recommended
Recycled Cardboard,32.9,2.5,95.4,0.96,92.6,5,Highly Recommended
Bioplastic (PLA),58.9,2.3,81.1,2.1,46.8,8,Consider as Option
Aluminum Foil,26.9,3.1,0,10.56,96.2,10,Avoid
Edible Seaweed Film,12.6,9.6,100,0.24,2.3,2,Consider as Option
Bagasse (Sugarcane),35.1,2.4,96.2,0.92,62.6,6,Highly Recommended
Bamboo Fiber,59.1,3.2,98,1.03,39.7,8,Highly Recommended
Aluminum Foil,40.9,8.6,0,8.33,98.7,10,Avoid
Virgin Plastic (PP),72.4,9.7,4.9,5.94,19.3,10,Avoid
Mushroom Mycelium,17.2,1.8,100,0.16,100,5,Highly Recommended
Aluminum Foil,27.5,7.7,0,10.79,99.1,10,Avoid
Bioplastic (PLA),60.9,3,85.6,2.24,51.3,8,Consider as Option
Virgin Plastic (PP),81.4,3.3,1.7,4.23,25.1,10,Avoid
Edible Seaweed Film,8.9,6.1,100,0.44,4.1,2,Consider as Option
Recycled Cardboard,33.2,6.3,99.2,1.29,85.4,3,Highly Recommended
Recycled Cardboard,34.2,1.4,93,1.05,80.6,3,Highly Recommended
Bamboo Fiber,48.2,6.1,97.9,0.83,34.2,8,Highly Recommended
Aluminum Foil,35.4,1.1,0,10.01,91.1,10,Avoid
Aluminum Foil,33.9,3.7,0,11.14,95.9,10,Avoid
Aluminum Foil,26.5,7.6,0,9.29,97.4,10,Avoid
Bagasse (Sugarcane),20.5,9.8,98.2,1.24,59.1,7,Highly Recommended
Bamboo Fiber,58,5.2,99.2,0.93,46.1,7,Highly Recommended
Bamboo Fiber,54.6,9,95.4,0.96,37.2,6,Highly Recommended
Aluminum Foil,40.6,4,0,8.26,93,10,Avoid
Virgin Plastic (PP),61.1,0.5,1.2,3.53,16.6,10,Avoid
Recycled Cardboard,18.7,8.3,96.7,1.43,98,5,Highly Recommended
Aluminum Foil,35.3,9,0,11.34,98.3,10,Avoid
Bagasse (Sugarcane),26.5,4.3,97.6,1.21,54.1,6,Highly Recommended
Recycled Cardboard,31,7.5,94.1,1.17,96.1,3,Highly Recommended
Bagasse (Sugarcane),30,2,99,1.27,62.4,5,Highly Recommended
Edible Seaweed Film,11.9,7.1,100,0.32,5.3,4,Consider as Option
Bagasse (Sugarcane),28.6,4.5,98.3,1.14,64.6,5,Highly Recommended
Edible Seaweed Film,9.4,4.5,100,0.28,6.8,2,Consider as Option
Virgin Plastic (PP),85.2,8.8,2.7,5.9,18.4,10,Avoid
Recycled Cardboard,32.1,6.7,90.9,0.83,93.1,3,Highly Recommended
Bioplastic (PLA),72.4,2.1,81,1.57,55.9,9,Highly Recommended
Recycled Cardboard,33.6,5.3,97.7,1.27,88.9,3,Highly Recommended
Recycled Cardboard,26.5,4.8,97.6,0.91,93.9,5,Highly Recommended
Aluminum Foil,23.7,8.9,0,9.3,91.2,10,Avoid
Aluminum Foil,39,6.4,0,10.01,95.8,10,Avoid
Mushroom Mycelium,15.1,5.4,100,0.3,100,5,Highly Recommended
Bagasse (Sugarcane),28.6,2,98.9,1.02,50.3,7,Highly Recommended
Bagasse (Sugarcane),39.3,6.7,99.7,0.98,60.4,7,Highly Recommended
Bioplastic (PLA),56.4,6.5,88.4,1.86,41.3,8,Highly Recommended
Aluminum Foil,25.3,7.2,0,9.43,97.4,10,Avoid
Recycled Cardboard,31.3,1.2,96.7,1.14,99.6,4,Highly Recommended
Bamboo Fiber,53.9,6.1,98,1.15,32.4,7,Highly Recommended
Bioplastic (PLA),54.4,2.7,80.2,1.97,55.4,9,Highly Recommended
Aluminum Foil,31.7,4,0,8.25,92.4,10,Avoid
Edible Seaweed Film,13.5,4.7,100,0.42,1.2,4,Consider as Option
Virgin Plastic (PP),83.4,8.1,1.6,4.27,20.5,10,Avoid
Bioplastic (PLA),53,0.7,92.1,2.13,51.6,9,Highly Recommended
Bioplastic (PLA),68.3,1.7,81.6,2.16,56,9,Highly Recommended
Bioplastic (PLA),53.1,7.5,87,2.5,50,9,Highly Recommended
Edible Seaweed Film,9.5,7.1,100,0.46,2.3,3,Consider as Option
Bioplastic (PLA),74.3,5.4,89.7,1.96,58.7,8,Highly Recommended
Bioplastic (PLA),66,0.8,85,1.79,48.3,8,Highly Recommended
Bagasse (Sugarcane),24.5,7.9,98,1.07,52.8,6,Highly Recommended
Bamboo Fiber,51,6.3,95.4,0.73,40,7,Highly Recommended
Mushroom Mycelium,19.9,7.5,100,0.23,100,6,Highly Recommended
Bamboo Fiber,42.3,6.6,98.6,1.11,48.3,8,Highly Recommended
Edible Seaweed Film,11.8,4.8,100,0.28,0.4,4,Consider as Option
Virgin Plastic (PP),68.6,8.5,0.4,4.6,26.5,10,Avoid
Edible Seaweed Film,9.5,9.3,100,0.22,0.9,2,Consider as Option
Edible Seaweed Film,5.3,8.8,100,0.48,8.2,4,Consider as Option
Bagasse (Sugarcane),28.2,5.1,97.8,0.98,53.2,5,Highly Recommended
Bagasse (Sugarcane),26.1,5.4,96.4,0.9,69.1,5,Highly Recommended
Mushroom Mycelium,12.5,6.6,100,0.19,100,5,Highly Recommended
Edible Seaweed Film,5.1,2.9,100,0.21,2.7,2,Consider as Option
Bamboo Fiber,46.4,5.3,99.4,0.51,48.3,8,Highly Recommended
Edible Seaweed Film,8.3,5.2,100,0.4,6.4,4,Consider as Option
Aluminum Foil,26.2,5.8,0,8.93,92.6,10,Avoid
Aluminum Foil,24.4,6.3,0,8.46,92.3,10,Avoid
Virgin Plastic (PP),81,0.7,2.2,5.1,19.6,10,Avoid
Recycled Cardboard,23.1,1.3,97.8,1.42,85.8,4,Highly Recommended
Aluminum Foil,40.3,6.2,0,11.07,92.9,10,Avoid
Virgin Plastic (PP),76.5,7.3,5,3.52,26,10,Avoid
Aluminum Foil,38.5,8.7,0,8.13,92.7,10,Avoid
Mushroom Mycelium,14.5,2.3,100,0.15,100,6,Highly Recommended
Mushroom Mycelium,19.3,5.7,100,0.31,100,4,Highly Recommended
Bioplastic (PLA),60.3,5.4,85,2.47,54.9,8,Consider as Option
Bagasse (Sugarcane),32.8,9.2,97.5,1.38,56.2,7,Highly Recommended
Edible Seaweed Film,6.1,0.9,100,0.45,6.9,3,Consider as Option
Recycled Cardboard,33.2,6.8,94.4,1.05,90.8,3,Highly Recommended
Bamboo Fiber,44.6,5.2,96.6,0.54,48.2,6,Highly Recommended
Recycled Cardboard,20.5,9.2,98.3,0.97,93.4,5,Highly Recommended
Aluminum Foil,39.4,5.4,0,9.7,94.5,10,Avoid
Mushroom Mycelium,22.8,9.5,100,0.17,100,5,Highly Recommended
Aluminum Foil,26.9,8.2,0,10.97,91.8,10,Avoid
Bioplastic (PLA),55.7,4.9,94.8,1.9,44.9,8,Highly Recommended
Mushroom Mycelium,18.6,2.9,100,0.32,100,5,Highly Recommended
Recycled Cardboard,30.7,6.3,100,1.22,92.7,4,Highly Recommended
Bagasse (Sugarcane),28.1,4,95.2,1.21,57.5,5,Highly Recommended
Virgin Plastic (PP),79.7,3.7,1,5.68,24.8,10,Avoid
Mushroom Mycelium,10.5,9.8,100,0.3,100,4,Highly Recommended
Edible Seaweed Film,6.1,5.4,100,0.29,2.4,4,Consider as Option
Bioplastic (PLA),63.3,7,83,1.63,56.8,8,Highly Recommended
Aluminum Foil,32.9,0.9,0,8.05,94,10,Avoid
Recycled Cardboard,29.3,6.4,93.3,1.07,98.6,4,Highly Recommended
Bioplastic (PLA),72.5,6.2,87.7,2.31,52.3,9,Highly Recommended
Bioplastic (PLA),56.6,7.9,82.7,1.9,57.6,9,Highly Recommended
Aluminum Foil,36.6,2.6,0,8.56,97.2,10,Avoid
Virgin Plastic (PP),83.1,8.1,1.3,5.05,17.9,10,Avoid
Bagasse (Sugarcane),31,8.1,96.5,1.2,59.2,5,Highly Recommended
Bamboo Fiber,51.8,9.3,99.9,1.1,30,7,Highly Recommended
Edible Seaweed Film,13.7,2.2,100,0.48,1.6,2,Consider as Option
Aluminum Foil,36.9,8.9,0,11.85,94.9,10,Avoid
Bioplastic (PLA),61.8,7.3,83.9,1.57,41.4,9,Highly Recommended
Recycled Cardboard,16.9,6.4,97.1,0.92,98,3,Highly Recommended
Bamboo Fiber,47.6,2.4,95.9,0.85,45.7,8,Highly Recommended
Bagasse (Sugarcane),21.3,9.4,98.6,1.21,65.8,6,Highly Recommended
Recycled Cardboard,33.1,5.2,98.2,1.38,99.2,5,Highly Recommended
Aluminum Foil,32,8.9,0,8.2,99.4,10,Avoid
Virgin Plastic (PP),82.3,4.1,4.9,4.67,14.1,10,Avoid
Bioplastic (PLA),73.4,1.6,81.6,2.16,49.1,8,Consider as Option
Aluminum Foil,25.2,2.6,0,8.18,96.1,10,Avoid
Mushroom Mycelium,10.9,4.1,100,0.39,100,6,Highly Recommended
Edible Seaweed Film,11.8,3.2,100,0.48,2.4,2,Consider as Option
Bamboo Fiber,57.8,6.9,96.5,1.04,48.5,8,Highly Recommended
Bamboo Fiber,41.8,1.7,97,0.74,32.3,6,Highly Recommended
Recycled Cardboard,16.4,9.7,96,0.98,84.9,4,Highly Recommended
Aluminum Foil,20.3,9.1,0,11.9,96.4,10,Avoid
Mushroom Mycelium,12,9.1,100,0.19,100,4,Highly Recommended
