Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,Cost_per_unit
Recycled Cardboard,19.4,2.1,94.1,1.1,91.1,3,6.6878
Edible Seaweed Film,9.4,7.5,100,0.35,7.4,3,5.3252
Virgin Plastic (PP),63.8,1.3,1,5.94,21.6,10,20.8748
Bamboo Fiber,51.8,1.5,95.2,0.86,30.4,6,16.3012
Virgin Plastic (PP),70.8,1.9,4.2,5.88,25.4,10,23.1352
Aluminum Foil,30.9,7.5,0,10.64,100,10,13.648
Virgin Plastic (PP),80,8.6,3.7,5.41,15.7,10,27.8306
Bamboo Fiber,50.7,9.7,97.9,0.93,43,8,18.42
Edible Seaweed Film,12.4,9.8,100,0.25,8.2,3,6.8936
Bamboo Fiber,51.4,2.4,98.3,1.18,36.9,7,16.5022
Aluminum Foil,36.2,6.8,0,9.41,90,10,14.802
Bagasse (Sugarcane),26.4,8.7,97.4,0.91,51.7,6,10.8086
Bioplastic (PLA),56.7,6.4,88.1,1.81,45.4,9,19.4012
Aluminum Foil,30.1,7.6,0,8.9,95.7,10,13.0986
Bagasse (Sugarcane),21.8,7.3,95.6,1.37,52,6,9.1
Edible Seaweed Film,5.4,1.2,100,0.53,0.9,4,2.2842
Virgin Plastic (PP),61,3.5,2.9,4.71,16.9,10,20.4582
Bamboo Fiber,45.2,7.8,95.3,1.02,34.9,6,16.2342
Virgin Plastic (PP),79.1,6,0.5,4.89,21.7,10,26.6646
Edible Seaweed Film,10.1,5.4,100,0.56,6.5,2,4.949
Bagasse (Sugarcane),30.1,6.7,96.5,1.31,67.7,6,11.3666
Virgin Plastic (PP),73.2,6.2,4.6,4.1,15.2,10,24.8096
Virgin Plastic (PP),74.2,1.1,1,4.94,13.7,10,23.7506
Recycled Cardboard,28,5,93.6,1.35,80.2,3,10.2096
Bioplastic (PLA),66.6,6.5,90,2.25,45.6,8,22.4888
Virgin Plastic (PP),62,3.7,3.3,4.7,15.7,10,20.8186
Mushroom Mycelium,19.3,3.6,100,0.14,100,4,6.898
Aluminum Foil,30.1,6.5,0,10.57,94.3,10,13.1054
Bagasse (Sugarcane),33.2,2.2,98.6,1.26,62.8,6,10.9464
Mushroom Mycelium,22.4,1.2,100,0.16,100,4,7.112
Bioplastic (PLA),61.1,1,87,1.6,43.4,8,19.0632
Edible Seaweed Film,11,3.6,100,0.54,0.1,4,4.6878
Edible Seaweed Film,12.8,6.9,100,0.48,4.8,3,6.1964
Bamboo Fiber,53.7,7.1,95.4,0.51,39.1,6,18.4638
Bamboo Fiber,57.7,4.7,97.9,0.59,35.6,8,18.9668
Aluminum Foil,32.4,3,0,9.39,90.3,10,12.5174
Aluminum Foil,33.9,10,0,10.84,96.8,10,15.3444
Recycled Cardboard,15.8,2.3,97,0.99,96.2,4,5.6356
Virgin Plastic (PP),76.2,9.3,0.8,4.72,22.8,10,26.7484
Recycled Cardboard,33.1,4.3,99.5,1.06,95,4,11.442
Bamboo Fiber,42.8,8.2,95.5,0.81,49.9,7,15.5622
Mushroom Mycelium,16.9,4.3,100,0.19,100,5,6.398
Virgin Plastic (PP),75.7,5.8,2,5.59,11.2,10,25.7456
Bamboo Fiber,49.2,5.6,99.6,0.84,37.5,8,16.733
Bagasse (Sugarcane),32,5.5,97.2,0.96,64.3,6,11.5134
Bagasse (Sugarcane),31.6,1.5,99,1.17,59.6,5,10.2448
Bagasse (Sugarcane),35.8,4.1,95.3,1.16,58.4,7,12.2852
Edible Seaweed Film,7.2,5,100,0.6,9.3,4,3.9614
Mushroom Mycelium,14.8,4.9,100,0.17,100,6,5.944
Mushroom Mycelium,19,8,100,0.13,100,5,8.126
Edible Seaweed Film,8.3,8.9,100,0.3,7.9,3,5.4042
Virgin Plastic (PP),80.3,1.5,2.1,4.27,21.1,10,25.5518
Recycled Cardboard,33.6,7.8,94.1,1.28,91.7,5,12.6926
Mushroom Mycelium,14.8,6.9,100,0.22,100,4,6.554
Bagasse (Sugarcane),32.7,9.3,98.9,1.34,69,6,12.93
Bamboo Fiber,52.9,5.6,98.8,1.06,37.5,6,17.887
Bagasse (Sugarcane),21.3,8.7,95.2,1.16,65.7,5,9.3006
Recycled Cardboard,35,9.2,94.6,1.04,87.9,3,13.4922
Virgin Plastic (PP),73,3.2,4.4,3.74,14.5,10,23.779
Virgin Plastic (PP),68.4,1.7,1,5.14,13,10,22.232
Edible Seaweed Film,5.4,7.3,100,0.37,6.5,3,4.071
Bamboo Fiber,56,0.9,98.2,1.09,43,8,17.402
Bamboo Fiber,51.9,8.8,98.8,0.75,32.7,8,18.4946
Virgin Plastic (PP),75.8,5.6,2.8,4.39,21.8,10,25.4544
Bioplastic (PLA),61.5,7.1,82,2.31,51.5,9,21.139
Bioplastic (PLA),73.9,4,94.2,2,42.9,8,23.8842
Bamboo Fiber,54.9,5.8,95.5,1.05,33,8,18.554
Bioplastic (PLA),54.1,6.9,80.9,2.35,48.1,9,18.8738
Aluminum Foil,28.9,7.6,0,10.22,96.4,10,13.0012
Bioplastic (PLA),65.1,5.4,94.5,1.87,57.6,9,21.6088
Recycled Cardboard,32.7,2,94.4,1.29,99.9,3,10.6682
Edible Seaweed Film,11.7,7.7,100,0.51,0.9,2,6.1202
Edible Seaweed Film,6.6,3.9,100,0.3,0.4,4,3.4092
Mushroom Mycelium,21.6,4.9,100,0.31,100,6,8.012
Mushroom Mycelium,16.6,9.6,100,0.24,100,5,7.908
Mushroom Mycelium,12.8,5.9,100,0.27,100,5,5.664
Bioplastic (PLA),71.4,1.6,94.6,1.99,45.9,9,22.4062
Recycled Cardboard,34.4,5,95.8,1.21,93.5,5,12.075
Recycled Cardboard,25.7,5.8,94.3,1.28,80.9,4,9.7442
Bioplastic (PLA),72.7,5.9,82.8,1.76,41.5,9,24.049
Mushroom Mycelium,13.4,4,100,0.4,100,4,5.3
Bamboo Fiber,50.5,0.7,99.1,0.54,35,7,15.598
Bagasse (Sugarcane),32.6,2.2,96.1,1.05,54.8,6,10.7404
Bamboo Fiber,50.5,2.6,97.5,0.7,42.9,7,16.1842
Bamboo Fiber,54.1,2.8,99.9,0.75,33.6,8,17.3528
Virgin Plastic (PP),74,5.5,2.3,5.35,26.9,10,25.0662
Virgin Plastic (PP),88.7,3.3,4.8,5.7,21.2,10,28.8976
Aluminum Foil,25.6,2.1,0,10.43,95.2,10,10.4056
Virgin Plastic (PP),62.3,2.2,4.3,4.23,16.5,10,20.363
Bagasse (Sugarcane),33.5,2.4,99.1,1.33,50.1,6,11.1358
Bamboo Fiber,51.7,7,99.5,0.73,30.6,8,17.8948
Bagasse (Sugarcane),23.3,6.1,99.7,1.03,60.4,7,9.1052
Virgin Plastic (PP),61.1,5.7,2.8,5.54,29.3,10,21.2894
Mushroom Mycelium,11.1,4.2,100,0.19,100,4,4.628
Bagasse (Sugarcane),36.9,9.3,97.6,1.09,66.3,6,14.1454
Bioplastic (PLA),68.9,0.9,85.8,2,44,9,21.452
Bioplastic (PLA),50.8,9.1,94.8,1.67,47.2,8,18.4096
Bioplastic (PLA),61.9,7.2,85.9,1.8,56.4,9,21.1772
Mushroom Mycelium,13.3,8.9,100,0.32,100,5,6.724
Recycled Cardboard,29.4,4,96.6,1.5,86.7,5,10.3466
Recycled Cardboard,15.2,1.8,99.4,0.87,85.7,5,5.3026
Aluminum Foil,28.1,1.9,0,8.82,99.5,10,10.765
Edible Seaweed Film,11,6.9,100,0.41,9.6,3,5.6328
Virgin Plastic (PP),71.8,5.2,3.9,4.4,15,10,24.15
Edible Seaweed Film,14.2,3.7,100,0.37,7.7,4,5.6286
Recycled Cardboard,23.6,1.6,96.6,1.13,89.5,4,7.807
Bamboo Fiber,51.9,6.5,96,0.89,32.4,6,17.8332
Bamboo Fiber,40.3,5.3,95.6,0.88,33.4,8,13.9892
Recycled Cardboard,30.8,9.4,90.9,1.36,85,3,12.362
Edible Seaweed Film,13.8,2.6,100,0.39,4.2,2,5.1896
Recycled Cardboard,17.6,6.6,90.1,1.45,84,5,7.582
Mushroom Mycelium,18.8,9.2,100,0.11,100,4,8.422
Aluminum Foil,42.6,1.5,0,10.25,94.4,10,15.2912
Bagasse (Sugarcane),39,0.6,96,0.94,60.8,7,12.1464
Bagasse (Sugarcane),31.9,3,97.4,1.39,68.2,7,10.8116
Recycled Cardboard,19.9,1.5,92.6,0.93,84.3,3,6.6374
Mushroom Mycelium,17.7,2.8,100,0.29,100,5,6.208
Edible Seaweed Film,8,6.4,100,0.47,8.2,3,4.5976
Mushroom Mycelium,21.6,7.2,100,0.12,100,5,8.664
Recycled Cardboard,29.3,7.7,100,1.08,88.6,5,11.3388
Bagasse (Sugarcane),26.8,7.3,98.7,1.02,57.1,7,10.5198
Edible Seaweed Film,14.2,2.4,100,0.26,0.2,4,5.2316
Virgin Plastic (PP),67.6,1.7,3.1,5.45,24.1,10,22.0318
Bamboo Fiber,59.1,9.7,95.9,0.65,31.9,8,20.9062
Bamboo Fiber,56.1,2.3,98,0.56,33.8,6,17.7644
Bagasse (Sugarcane),27.2,8.6,95.7,1.32,52.7,7,11.0986
Aluminum Foil,20.8,5.2,0,11.17,96.3,10,10.0414
Bamboo Fiber,57.4,2.8,99,0.55,48.1,7,18.2738
Bamboo Fiber,53.7,1.3,98.1,0.92,35.6,7,16.8128
Edible Seaweed Film,8.1,5.2,100,0.45,3.2,4,4.2736
Bamboo Fiber,53.7,6.2,95.6,1.18,38.1,6,18.3298
Bamboo Fiber,40.6,8.6,98.4,0.51,34.1,6,14.9938
Edible Seaweed Film,14.1,7,100,0.43,8.3,2,6.5994
Aluminum Foil,38.8,9.3,0,10.89,98.9,10,16.6102
Mushroom Mycelium,14.8,6.4,100,0.16,100,6,6.392
Bioplastic (PLA),70.1,2.3,85.4,1.68,49.4,9,22.1572
Edible Seaweed Film,11.5,5.2,100,0.25,0.4,2,5.2592
Recycled Cardboard,35,1,96.9,1.02,89.1,4,11.0258
Virgin Plastic (PP),62.3,5,0.2,4.52,20.9,10,21.2522
Edible Seaweed Film,6,7.5,100,0.5,6.8,4,4.3364
Mushroom Mycelium,11,3.6,100,0.21,100,6,4.422
Bioplastic (PLA),50.4,5.4,86.4,1.82,50.6,9,17.2028
Bioplastic (PLA),74,4.6,84.5,1.58,49.9,9,23.9962
Bioplastic (PLA),58.9,1,80.5,2.45,54.8,8,18.5504
Recycled Cardboard,28.3,8.5,95.6,1.37,87,3,11.34
Aluminum Foil,27.2,7.3,0,8.21,95.9,10,12.0002
Bagasse (Sugarcane),32.3,8.5,99,1.33,51.5,7,12.603
Mushroom Mycelium,16.9,9.6,100,0.24,100,6,7.998
Mushroom Mycelium,17.2,8.6,100,0.4,100,5,7.82
Bamboo Fiber,58.6,3.8,95.2,0.68,43.7,7,18.9686
Recycled Cardboard,17,9.2,96.9,0.87,87.3,5,8.0594
Bagasse (Sugarcane),29.3,8.8,97.3,1.17,56.8,5,11.7504
Bamboo Fiber,53.5,8.5,98.7,0.91,40.1,7,18.9018
Recycled Cardboard,23.9,8.1,93.5,0.93,87,3,9.812
Bamboo Fiber,42.5,3.7,98.4,0.7,44.9,6,14.1102
Bagasse (Sugarcane),32.4,0.7,97.1,0.92,55.4,7,10.2032
Aluminum Foil,40.3,3,0,9.09,90.8,10,14.8264
Bioplastic (PLA),54.8,1.7,91.8,2.33,47.1,9,17.5218
Bagasse (Sugarcane),37.1,8.6,96.3,1.11,54.2,5,14.0236
Aluminum Foil,33.3,9,0,8.88,99.5,10,14.467
Edible Seaweed Film,12.5,5.5,100,0.59,4.9,3,5.7082
Aluminum Foil,39.9,7.6,0,8.49,94.9,10,15.9582
Recycled Cardboard,15.6,6.7,98.4,0.99,84.6,4,6.9188
Bioplastic (PLA),66.2,1.7,81.4,2.48,52,9,20.962
Recycled Cardboard,21.6,6.6,96.3,1.43,99.5,3,8.747
Aluminum Foil,27.6,8.1,0,9.49,97.7,10,12.6126
Bamboo Fiber,49.8,2.3,96.1,0.55,32.3,8,15.8754
Bioplastic (PLA),64.8,7.9,83.4,1.95,53,9,22.294
Aluminum Foil,21.3,6.1,0,9.67,92.4,10,10.1692
Recycled Cardboard,28.8,7.1,96.4,0.97,85.2,5,10.9936
Bioplastic (PLA),64.7,9.4,91.6,2.43,49.4,9,22.8172
Recycled Cardboard,34.4,0.9,95,0.91,92.3,4,10.7874
Bagasse (Sugarcane),32.8,7.4,98.7,1.27,52.7,5,12.4086
Bioplastic (PLA),62.6,8.8,80.4,1.62,41.5,9,21.861
Edible Seaweed Film,11,4.7,100,0.22,8.9,4,4.9362
Virgin Plastic (PP),67,1.5,3.5,3.7,10.7,10,21.4686
Aluminum Foil,31.1,7.6,0,10.65,97.9,10,13.7442
Bamboo Fiber,57.8,2,95.2,0.71,30.5,8,18.221
Edible Seaweed Film,10.3,8.7,100,0.3,0.7,2,5.9586
Edible Seaweed Film,14.2,6.1,100,0.31,3.5,2,6.345
Bamboo Fiber,58.8,4.5,98.6,0.52,30.8,8,19.2324
Edible Seaweed Film,7.7,4.1,100,0.22,8.8,2,3.7664
Recycled Cardboard,18.6,6.5,98.9,1.08,96.4,5,7.7532
Recycled Cardboard,32.9,1.3,96,1.39,96.7,4,10.5446
Bagasse (Sugarcane),29,1.7,99.5,0.93,62.6,5,9.4708
Edible Seaweed Film,13.4,9.3,100,0.48,3,2,7.1
Bagasse (Sugarcane),34.7,4,97.9,1.19,60.1,6,11.9278
Aluminum Foil,40.2,2.5,0,11.15,91.4,10,15.0572
Recycled Cardboard,31.1,7.6,99.9,1.25,99.7,5,11.8606
Aluminum Foil,27.2,3,0,9.15,90.9,10,10.9082
Bagasse (Sugarcane),38.3,7.7,99.5,1.09,60.3,5,14.0974
Edible Seaweed Film,6.9,5,100,0.49,2.9,2,3.8622
Recycled Cardboard,33.1,1.4,99.7,1.31,92.8,4,10.6264
Aluminum Foil,21.2,4.5,0,10.24,94.8,10,9.7684
Aluminum Foil,30.5,0.7,0,11.39,99.5,10,11.639
Aluminum Foil,25.9,9.1,0,9.62,99.7,10,12.4246
Mushroom Mycelium,24.2,8.2,100,0.26,100,4,9.772
Edible Seaweed Film,12,4.4,100,0.58,1.3,2,5.2334
Aluminum Foil,39.7,3.8,0,11.34,94.7,10,15.3286
Aluminum Foil,39.4,1.2,0,11.08,94.4,10,14.4072
Bagasse (Sugarcane),39.5,5.6,95.6,1.22,50.4,6,13.8732
Edible Seaweed Film,5.5,0.8,100,0.37,7.9,4,2.1482
Mushroom Mycelium,22.4,8.6,100,0.22,100,5,9.344
Recycled Cardboard,31.6,0.8,91.4,1.39,80.9,4,10.0362
Bioplastic (PLA),65.6,7.2,91.8,1.84,55.5,9,22.297
Virgin Plastic (PP),69.4,4.2,2.6,4.21,10.3,10,23.1014
Mushroom Mycelium,18.2,3.2,100,0.23,100,6,6.466
Edible Seaweed Film,5.1,1.1,100,0.36,6.9,4,2.1182
Mushroom Mycelium,12.2,7.7,100,0.2,100,5,6.01
Recycled Cardboard,27.2,7.9,95.1,1.34,84.2,5,10.8296
Recycled Cardboard,16.9,4.4,90.8,0.92,89.8,5,6.5944
Aluminum Foil,23.9,3.3,0,9.63,95.3,10,10.0954
Recycled Cardboard,24.2,3.6,96,1.18,84.8,3,8.6064
Recycled Cardboard,22.1,4,96,1.17,97,5,8.07
Recycled Cardboard,27.9,6.2,99.3,0.94,92.3,5,10.4334
Bagasse (Sugarcane),32.5,2.2,96.3,1.19,59.5,7,10.729
Bamboo Fiber,42.8,8.9,97.8,1.17,37.8,8,15.8684
Edible Seaweed Film,12.3,3.9,100,0.21,9.1,4,5.0838
Bamboo Fiber,52.6,5.1,95.2,0.81,46.3,6,17.5794
Bioplastic (PLA),71.4,3.5,80.4,1.6,55.9,8,22.8782
Mushroom Mycelium,23,8.8,100,0.17,100,4,9.574
Mushroom Mycelium,16.8,1.7,100,0.35,100,5,5.62
Virgin Plastic (PP),81.3,9.6,0.8,3.67,24,10,28.156
Bagasse (Sugarcane),32.3,1.5,96.5,1.13,57.2,5,10.4516
Virgin Plastic (PP),60.8,1.6,2.4,3.72,27.5,10,19.609
Aluminum Foil,34.8,6.7,0,10.37,92.3,10,14.5394
Mushroom Mycelium,12.1,0.5,100,0.22,100,5,3.824
Virgin Plastic (PP),78.2,2.7,3.2,3.57,13.9,10,25.1562
Aluminum Foil,27.8,8.1,0,8.53,95.8,10,12.4844
Bioplastic (PLA),67.4,6,86,2.39,42.8,9,22.6124
Recycled Cardboard,33.5,6,98.7,1.32,84.1,5,12.1458
Bagasse (Sugarcane),37.8,7.4,96.6,1.02,51.5,7,13.861
Aluminum Foil,23.3,7.7,0,8.92,94.3,10,11.0954
Recycled Cardboard,29.7,2.8,93.2,1.29,87.9,4,10.0322
Bioplastic (PLA),58.5,2.3,91.3,1.91,44.8,9,18.7324
Bamboo Fiber,59.6,7.7,98,0.97,32.6,6,20.5188
Bagasse (Sugarcane),39,0.6,95.9,1.19,56.6,6,12.2048
Bagasse (Sugarcane),36.6,7.8,98.8,1.39,67.1,5,13.6638
Virgin Plastic (PP),69,10,4.2,5.61,28.4,10,24.9652
Edible Seaweed Film,9.1,4.2,100,0.35,3.8,3,4.2524
Edible Seaweed Film,13.4,1.4,100,0.54,4.5,2,4.739
Bioplastic (PLA),59.2,1.5,94.2,2.13,42.2,8,18.7516
Virgin Plastic (PP),66.5,6.3,2.4,5.59,29.4,10,23.0992
Bamboo Fiber,57.1,4.1,98.7,1.13,49,6,18.688
Bioplastic (PLA),66.1,7.6,89.1,1.57,47.7,8,22.5286
Recycled Cardboard,26.9,0.5,91.1,0.93,89.3,5,8.4274
Aluminum Foil,31.8,7.7,0,11.55,94.3,10,14.1714
Bamboo Fiber,42.1,3,98.8,1.01,31.2,8,13.8696
Edible Seaweed Film,14.4,0.5,100,0.22,8,3,4.698
Aluminum Foil,35.2,8,0,8.58,91.9,10,14.6922
Aluminum Foil,28.8,5,0,11.43,95.3,10,12.4354
Edible Seaweed Film,7.3,4.7,100,0.52,3.5,3,3.897
Bioplastic (PLA),69.4,1.5,88.2,1.58,59.4,9,21.6672
Edible Seaweed Film,6.8,6.5,100,0.58,0.9,2,4.3042
Recycled Cardboard,15.8,5.7,98.8,1.25,82.7,5,6.7346
Virgin Plastic (PP),61.9,8.2,0.1,4.31,21.7,10,22.0486
Aluminum Foil,23.4,0.9,0,8.14,99.2,10,8.9196
Bamboo Fiber,56.6,7.7,97.3,0.99,33.9,7,19.6202
Mushroom Mycelium,19.5,9.4,100,0.14,100,5,8.698
Bamboo Fiber,59.9,2.2,98.6,0.89,44.8,7,18.9184
Edible Seaweed Film,10.5,5.2,100,0.24,10,2,4.938
Bagasse (Sugarcane),39.2,6.8,100,1.17,63.6,7,14.1068
Bioplastic (PLA),60.8,8.6,87.5,2.1,57.9,9,21.3242
Bamboo Fiber,58.9,1.7,98.6,0.65,35.2,6,18.4396
Bagasse (Sugarcane),28.2,6.5,96.5,1.01,62,5,10.688
Bioplastic (PLA),64.4,1.3,81.7,2.05,46.2,8,20.2276
Bagasse (Sugarcane),36.5,8.1,95.4,1.37,59.2,7,13.7356
Edible Seaweed Film,6.2,0.7,100,0.58,3.9,4,2.3782
Edible Seaweed Film,15,1.2,100,0.42,1.4,2,5.1412
Bioplastic (PLA),53.4,2.7,91.6,1.76,59.8,9,17.2624
Bioplastic (PLA),65.7,7.6,86.3,2.46,47.2,9,22.5876
Aluminum Foil,40.1,8,0,11.37,99.9,10,16.7042
Bamboo Fiber,56.5,8.2,99.8,1.12,33.3,6,19.7674
Mushroom Mycelium,15.4,3.9,100,0.1,100,6,5.81
Edible Seaweed Film,12.4,9.7,100,0.59,4.3,3,6.9394
Virgin Plastic (PP),78,10,4.4,5.17,17.7,10,27.5986
Bamboo Fiber,48.5,8.6,96.2,0.63,32.8,7,17.3904
Aluminum Foil,34.6,9.1,0,8.34,92.2,10,14.7936
Edible Seaweed Film,12.3,7.3,100,0.36,2,4,6.148
Bamboo Fiber,48.9,7,97.9,1.1,45.3,7,17.0994
Bioplastic (PLA),53.5,3,83.6,1.86,45.8,8,17.4304
Bamboo Fiber,55.2,7.2,99.4,1.1,39.9,8,19.0602
Bioplastic (PLA),62.7,6.4,87.4,2.42,46.8,8,21.3204
Bioplastic (PLA),51.7,0.6,93.2,1.88,49.7,8,16.1666
Bamboo Fiber,51.3,7.1,96.9,0.74,49.7,6,17.7686
Edible Seaweed Film,12.9,3.4,100,0.28,6.8,4,5.1324
Aluminum Foil,26.3,8.4,0,10.03,91.6,10,12.4328
Bagasse (Sugarcane),34.9,1.4,99.3,1.04,52.7,7,11.1926
Bioplastic (PLA),52.3,4.5,88,2.4,54.5,9,17.611
Aluminum Foil,23.9,1,0,9.22,98.7,10,9.3166
Edible Seaweed Film,12.1,1.7,100,0.57,4.2,2,4.4456
Edible Seaweed Film,8.3,7.2,100,0.54,5.3,3,4.9474
Aluminum Foil,36.4,6.1,0,9.91,92.5,10,14.747
Recycled Cardboard,30.3,0.5,95.9,1.17,91.6,4,9.4908
Aluminum Foil,25.1,3,0,8.05,96.8,10,10.0464
Bioplastic (PLA),69.7,9.8,81.7,2.06,58.6,9,24.3448
Aluminum Foil,35.9,0.9,0,10.29,99.6,10,13.0988
Recycled Cardboard,15.9,5.1,97.2,0.96,90.3,3,6.5114
Virgin Plastic (PP),66.4,4.2,3.1,5.74,24.4,10,22.4792
Bamboo Fiber,58.8,1.1,95.6,0.6,31,7,18.228
Recycled Cardboard,34.9,9.3,93.6,1.4,95.1,5,13.5498
Bamboo Fiber,57,8.1,99.6,0.77,37.3,8,19.8094
Mushroom Mycelium,12.6,9.1,100,0.3,100,6,6.57
Edible Seaweed Film,12.9,4.7,100,0.33,8.2,3,5.5296
Bamboo Fiber,41.1,2.1,97.1,0.73,38.3,8,13.2294
Mushroom Mycelium,17.2,8.7,100,0.24,100,6,7.818
Bamboo Fiber,48.1,9.5,96.9,0.72,41.7,6,17.5406
Virgin Plastic (PP),68.6,5.5,4.4,5.15,28.3,10,23.4034
Recycled Cardboard,17.5,5.7,95.8,1.11,90.4,5,7.2012
Bioplastic (PLA),70.4,8.6,83.5,1.9,57.6,8,24.1648
Virgin Plastic (PP),72.3,8.3,2.1,4.97,27.8,10,25.3184
Mushroom Mycelium,23.3,4.8,100,0.37,100,4,8.504
Bioplastic (PLA),74.6,1.8,80.3,1.99,52.8,8,23.4124
Edible Seaweed Film,7,7.5,100,0.47,1.1,4,4.6418
Bamboo Fiber,47.3,7.2,95.4,0.77,36.3,7,16.6314
Bioplastic (PLA),50,5.6,82.8,2.47,41.5,8,17.291
Bagasse (Sugarcane),39.5,1.7,97.4,1.26,56.2,5,12.6996
Virgin Plastic (PP),74.4,1.4,3.7,3.56,11.9,10,23.6282
Recycled Cardboard,23.4,1,98.9,0.96,82.6,4,7.5468
Bamboo Fiber,41.3,9.2,99.8,1.2,44.3,7,15.5014
Recycled Cardboard,22.2,2.6,96.2,1.15,92.5,4,7.685
Aluminum Foil,42.1,3.9,0,10.22,97.8,10,15.8484
Bagasse (Sugarcane),25.2,4.9,98,1.35,56.7,7,9.3866
Bamboo Fiber,56,9.1,99,0.52,45.2,8,19.7436
Mushroom Mycelium,19.1,7.7,100,0.32,100,5,8.104
Aluminum Foil,41.4,3.3,0,9.35,98,10,15.284
Virgin Plastic (PP),79.3,8.3,2.2,3.61,27.8,10,27.1464
Virgin Plastic (PP),64.2,2.1,0.2,5.71,10.9,10,21.2102
Mushroom Mycelium,22.9,8,100,0.29,100,4,9.328
Recycled Cardboard,30.5,8.3,91.8,1.03,88.3,5,11.8694
Bamboo Fiber,50.9,9.7,96.3,0.88,46.1,6,18.4638
Aluminum Foil,36.5,6,0,9.66,97.7,10,14.6866
Bioplastic (PLA),51.7,2.7,91.6,2.48,58.6,9,16.8988
Virgin Plastic (PP),78,5.6,0.1,5.55,24.7,10,26.3406
Bioplastic (PLA),67.7,3.1,90.4,2.23,46.3,9,21.7934
Recycled Cardboard,27.7,5.6,93.1,0.9,99.5,4,10.171
Bioplastic (PLA),56.6,4.6,82.6,1.97,57,8,18.84
Aluminum Foil,44.1,5,0,8.28,92.8,10,16.4004
Aluminum Foil,44.9,7.3,0,9.96,96.5,10,17.659
Edible Seaweed Film,5.5,8.7,100,0.31,5.8,2,4.5104
Aluminum Foil,24.9,0.5,0,9.5,96.2,10,9.5276
Bamboo Fiber,44.3,4.7,97.1,0.82,42.5,6,14.979
Edible Seaweed Film,10.9,2.3,100,0.5,9.5,2,4.241
Aluminum Foil,44.3,9.6,0,11.84,96.5,10,18.545
Mushroom Mycelium,10.7,3.1,100,0.2,100,4,4.18
Bamboo Fiber,48.7,1,96.6,0.55,49.5,7,15.121
Bagasse (Sugarcane),29.4,1.2,97.6,1.19,50.2,6,9.5176
Bagasse (Sugarcane),22,5.3,98.2,1.18,52.5,5,8.521
Bioplastic (PLA),53.8,4.8,92.9,2.21,54,9,18.114
Bamboo Fiber,59.8,5,95.7,1.05,31.3,6,19.7874
Bioplastic (PLA),50.7,9.1,87.3,1.76,41.8,8,18.4084
Bagasse (Sugarcane),28.2,9.6,95.3,1.25,59.5,5,11.671
Virgin Plastic (PP),64.5,4.5,2.9,4.72,19.9,10,21.8042
Recycled Cardboard,20,7,94.4,1.17,92.1,4,8.3498
Bioplastic (PLA),61.9,8.2,83.3,2.42,54,9,21.606
Mushroom Mycelium,23,7.7,100,0.37,100,6,9.284
Mushroom Mycelium,10.3,0.9,100,0.28,100,6,3.416
Aluminum Foil,26.6,6.4,0,10.85,91.4,10,12.0872
Bioplastic (PLA),51,5.3,90.1,2.17,48.3,8,17.4274
Mushroom Mycelium,14.1,2.1,100,0.36,100,5,4.932
Mushroom Mycelium,14,7.1,100,0.36,100,4,6.402
Mushroom Mycelium,14,4.2,100,0.21,100,5,5.502
Virgin Plastic (PP),85.1,4.1,1,5.76,18.6,10,28.0748
Bioplastic (PLA),64,4.5,86.6,2.27,56,8,21.092
Bioplastic (PLA),55.8,2,83.2,1.55,54.7,9,17.7406
Mushroom Mycelium,15,9.2,100,0.22,100,5,7.304
Virgin Plastic (PP),60.4,5,1.6,4.12,23,10,20.598
Bioplastic (PLA),58.3,2,89.2,1.75,56,9,18.528
Bamboo Fiber,58.8,9.8,99.7,0.75,49.2,7,20.8316
Bioplastic (PLA),55.4,0.9,84.3,2.46,41.9,9,17.4982
Bamboo Fiber,58.2,5.9,99.5,1.13,47.8,7,19.5604
Bagasse (Sugarcane),29.4,5.9,99.2,1.1,50.9,5,10.9082
Edible Seaweed Film,5.5,7.3,100,0.44,9.8,3,4.1084
Edible Seaweed Film,5.2,4.8,100,0.35,2.8,3,3.2644
Aluminum Foil,44.2,9.9,0,9.4,95.2,10,18.1196
Mushroom Mycelium,12.7,5.8,100,0.17,100,6,5.584
Recycled Cardboard,18.9,3.2,99,0.84,82.7,3,6.8326
Aluminum Foil,30,1,0,8.17,94,10,10.946
Bagasse (Sugarcane),36.4,5.4,95.7,1.4,57,7,12.906
Bioplastic (PLA),66.5,7.8,93.3,1.88,53.9,9,22.7582
Virgin Plastic (PP),81.6,7,1.1,5.06,15.2,10,27.7616
Bioplastic (PLA),67.8,6.4,86.6,2.48,54.3,8,22.8474
Bamboo Fiber,41.5,6.9,97,0.59,35.8,7,14.7664
Bamboo Fiber,41.8,8.7,96.2,0.91,45.2,8,15.4416
Edible Seaweed Film,5.4,4.5,100,0.6,0.7,4,3.2886
Bioplastic (PLA),53.6,6.1,82.4,2.48,55.9,8,18.4942
Bagasse (Sugarcane),38,1.9,95.4,1.09,57.6,5,12.2728
Bamboo Fiber,42.9,1.5,96.8,0.56,44.2,8,13.5436
Bamboo Fiber,51.7,5.4,98.4,0.59,42.2,8,17.3636
